number,district,id,in_cycle,dist_type,incum_party,incum_last,incum_first,sen_dist_match
1,HD 1,001450005518,yes,HD,R,BENNETT,JERRY,SD 1
2,HD 2,001450005530,yes,HD,R,CUFFE,MIKE,SD 1
3,HD 3,001450005541,yes,HD,D,PERRY,ZAC,SD 2
4,HD 4,001450005552,yes,HD,R,REGIER,KEITH,SD 2
5,HD 5,001450005563,yes,HD,D,LIESER,ED,SD 3
6,HD 6,001450005574,yes,HD,R,GLIMM,CARL,SD 3
7,HD 7,001450005585,yes,HD,R,GARNER,FRANK,SD 4
8,HD 8,001450005596,yes,HD,R,LAVIN,STEVE,SD 4
9,HD 9,001450005607,yes,HD,R,BRODEHL,RANDY,SD 5
10,HD 10,001450005519,yes,HD,R,NOLAND,MARK,SD 5
11,HD 11,001450005521,yes,HD,R,OLSZEWSKI,ALBERT,SD 6
12,HD 12,001450005522,yes,HD,R,HERTZ,GREG,SD 6
13,HD 13,001450005523,yes,HD,R,BROWN,BOB,SD 7
14,HD 14,001450005524,yes,HD,R,SCHWADERER,NICHOLAS,SD 7
15,HD 15,001450005525,yes,HD,D,KIPP III,GEORGE,SD 8
16,HD 16,001450005526,yes,HD,D,WEBBER,SUSAN,SD 8
17,HD 17,001450005527,yes,HD,R,CLARK,CHRISTY,SD 9
18,HD 18,001450005528,yes,HD,R,COOK,ROB,SD 9
19,HD 19,001450005529,yes,HD,R,PINOCCI,RANDALL,SD 10
20,HD 20,001450005531,yes,HD,R,FITZPATRICK,STEVE,SD 10
21,HD 21,001450005532,yes,HD,D,JACOBSON,TOM,SD 11
22,HD 22,001450005533,yes,HD,D,MEHLHOFF,ROBERT,SD 11
23,HD 23,001450005534,yes,HD,R,MCKAMEY,WENDY,SD 12
24,HD 24,001450005535,yes,HD,D,PRICE,JEAN,SD 12
25,HD 25,001450005536,yes,HD,D,SCHREINER,CASEY,SD 13
26,HD 26,001450005537,yes,HD,D,TROPILA,MITCH,SD 13
27,HD 27,001450005538,yes,HD,R,HOLLANDSWORTH,ROY,SD 14
28,HD 28,001450005539,yes,HD,R,HESS,STEPHANIE,SD 14
29,HD 29,001450005540,yes,HD,R,HARRIS,BILL,SD 15
30,HD 30,001450005542,yes,HD,R,OSMUNDSON,RYAN,SD 15
31,HD 31,001450005543,yes,HD,D,SMITH,BRIDGET,SD 16
