number,district,dist_type,incum_last,incum_first,incum_party,incum_address,incum_city,incum_state,incum_zip
1,HD 1,HD,BENNETT,JERRY,R,784 TAYLOR RD,LIBBY,MT,59923-8458
2,HD 2,HD,CUFFE,MIKE,R,PO BOX 1685,EUREKA,MT,59917-1685
3,HD 3,HD,PERRY,ZAC,D,PO BOX 268,HUNGRY HORSE,MT,59919-0268
4,HD 4,HD,REGIER,KEITH,R,1078 STILLWATER RD,KALISPELL,MT,59901-6902
5,HD 5,HD,LIESER,ED,D,1355 LION MOUNTAIN DR,WHITEFISH,MT,59937-8072
6,HD 6,HD,GLIMM,CARL,R,5107 ASHLEY LAKE RD,KILA,MT,59920
7,HD 7,HD,GARNER,FRANK,R,PO BOX 10176,KALISPELL,MT,59904-0176
8,HD 8,HD,LAVIN,STEVE,R,PO BOX 11241,KALISPELL,MT,59904-4241
9,HD 9,HD,BRODEHL,RANDY,R,16 WHITE BARK,KALISPELL,MT,59901-2122
10,HD 10,HD,NOLAND,MARK,R,PO BOX 1852,BIGFORK,MT,59911-1852
11,HD 11,HD,OLSZEWSKI,ALBERT,R,PO BOX 11243,KALISPELL,MT,59904-1243
12,HD 12,HD,HERTZ,GREG,R,PO BOX 1747,POLSON,MT,59860-1747
13,HD 13,HD,BROWN,BOB,R,PO BOX 1907,THOMPSON FALLS,MT,59873-1907
14,HD 14,HD,SCHWADERER,NICHOLAS,R,PO BOX 370,SUPERIOR,MT,59872-0370
15,HD 15,HD,KIPP III,GEORGE,D,PO BOX 191,HEART BUTTE,MT,59448-0191
16,HD 16,HD,WEBBER,SUSAN,D,PO BOX 1011,BROWNING,MT,59417-1011
17,HD 17,HD,CLARK,CHRISTY,R,5529 LAKE HELENA DR,HELENA,MT,59602
18,HD 18,HD,COOK,ROB,R,223 1ST AVE SW,CONRAD,MT,59425-1805
19,HD 19,HD,PINOCCI,RANDALL,R,66 SUN RIVER CASCADE RD,SUN RIVER,MT,59483-9749
20,HD 20,HD,FITZPATRICK,STEVE,R,3203 15TH AVE S,GREAT FALLS,MT,59405-5416
21,HD 21,HD,JACOBSON,TOM,D,521 RIVERVIEW DR E,GREAT FALLS,MT,59404-1634
22,HD 22,HD,MEHLHOFF,ROBERT,D,407 9TH ST NW,GREAT FALLS,MT,59404-2333
23,HD 23,HD,MCKAMEY,WENDY,R,33 UPPER MILLEGAN RD,GREAT FALLS,MT,59405-8427
