last_name,name,party,district,incumbent,type,number
Brown,Dee L. Brown,R,SD 2,yes,SD,2
Hartman,Melissa L Hartman,D,SD 3,no,SD,3
Regier,Keith Regier,R,SD 3,no,SD,3
Harmsen,Rolf Harmsen,D,SD 6,no,SD,6
Olszewski,Albert D Olszewski,R,SD 6,no,SD,6
Fielder,Jennifer Fielder,R,SD 7,yes,SD,7
Sheets,Mark Sheets,D,SD 7,no,SD,7
Fitzpatrick,Steve Fitzpatrick,R,SD 10,no,SD,10
Magin,Deborah L. Magin,D,SD 10,no,SD,10
McConnaha,Sean McConnaha,D,SD 15,no,SD,15
Osmundson,Ryan Osmundson,R,SD 15,no,SD,15
Meyers,G. Bruce Meyers,R,SD 16,no,SD,16
Smith,Frank J. Smith,D,SD 16,no,SD,16
Adolphson,Douglas Adolphson,D,SD 17,no,SD,17
Lang,Mike L Lang,R,SD 17,no,SD,17
Hinebauch,Steve Hinebauch,R,SD 18,no,SD,18
Pease-Lopez,Carolyn Pease-Lopez,D,SD 21,no,SD,21
Small,Jason D. Small,R,SD 21,no,SD,21
Van Tricht,Paul J. Van Tricht,D,SD 23,no,SD,23
Webb,Roger Webb,R,SD 23,yes,SD,23
Huston,Donna Huston,R,SD 25,no,SD,25
MacDonald,Margie MacDonald,D,SD 26,no,SD,26
Roberts,Donald Roberts,R,SD 26,no,SD,26
Abbey,Deborah Abbey,D,SD 28,no,SD,28
Richmond,Tom Richmond,R,SD 28,no,SD,28
Phillips,Mike Phillips,D,SD 31,yes,SD,31
Sales,Scott Sales,R,SD 35,yes,SD,35
Welborn,Jeff Welborn,R,SD 36,no,SD,36
Sesso,Jon C. Sesso,D,SD 37,yes,SD,37
McClafferty,Edith (Edie) McClafferty,D,SD 38,no,SD,38
Rosenbaum,Glenn J. Rosenbaum,R,SD 38,no,SD,38
Motta,Dick Motta,L,SD 39,no,SD,39
Nordwick,Suzzann Nordwick,R,SD 39,no,SD,39
Vuckovich,Gene Vuckovich,D,SD 39,yes,SD,39
Gauthier,Terry J. Gauthier,R,SD 40,no,SD,40
Jacobson,Hal Jacobson,D,SD 40,no,SD,40
Olsen,James R. Olsen,D,SD 44,no,SD,44
Thomas,Fred Thomas,R,SD 44,yes,SD,44
Barrett,Dick Barrett,D,SD 45,yes,SD,45
Hume,Sashin Hume,R,SD 45,no,SD,45
Malek,Sue Malek,D,SD 46,yes,SD,46
Pummill,Adam S. Pummill,R,SD 46,no,SD,46
France,Tom France,D,SD 47,no,SD,47
Salomon,Daniel R. Salomon,R,SD 47,no,SD,47
Gunderson,Steve Gunderson,R,HD 1,,HD,1
Haarstick,Steve Haarstick,D,HD 1,,HD,1
Cuffe,Mike Cuffe,R,HD 2,,HD,2
McGarry,David B. McGarry,D,HD 2,,HD,2
Perry,Zac Perry,D,HD 3,,HD,3
Rose,Taylor Rose,R,HD 3,,HD,3
Gentry,Deborah Gentry,D,HD 4,,HD,4
Regier,Matt Regier,R,HD 4,,HD,4
Billi,Chet Billi,R,HD 5,,HD,5
Fern,Dave Fern,D,HD 5,,HD,5
Glimm,Carl Glimm,R,HD 6,,HD,6
Morrow,Lisa Morrow,D,HD 6,,HD,6
Garner,Frank Garner,R,HD 7,,HD,7
Stanley,Lynn Stanley,D,HD 7,,HD,7
Lavin,Steve Lavin,R,HD 8,,HD,8
Rappleye,C Paige Rappleye,D,HD 8,,HD,8
Brodehl,Randy Brodehl,R,HD 9,,HD,9
MacLean,Brittany MacLean,D,HD 9,,HD,9
Noland,Mark Ray Noland,R,HD 10,,HD,10
Swanson,James H. Swanson,I,HD 10,,HD,10
Bech,Eileen Bach Bech,D,HD 11,,HD,11
Skees,Derek Skees,R,HD 11,,HD,11
Evans,Susan Evans,D,HD 12,,HD,12
Hertz,Greg Hertz,R,HD 12,,HD,12
Achatz,Debra J Achatz,D,HD 13,,HD,13
Brown,Bob Brown,R,HD 13,,HD,13
Foster,Bryan Foster,D,HD 14,,HD,14
Loge,Denley M. Loge,R,HD 14,,HD,14
Kipp,George G. Kipp III,D,HD 15,,HD,15
Webber,Susan A. Webber,D,HD 16,,HD,16
Fitzgerald,Ross H. Fitzgerald,R,HD 17,,HD,17
Sporkin-Morrison,Barnett G. Sporkin-Morrison,D,HD 17,,HD,17
Cook,Rob Cook,R,HD 18,,HD,18
McKamey,Wendy McKamey,R,HD 19,,HD,19
Olsen,Elaine G. Olsen,D,HD 19,,HD,19
Anderson,Fred Anderson,R,HD 20,,HD,20
Rapp,Amy J. Rapp,D,HD 20,,HD,20
Jacobson,Tom Jacobson,D,HD 21,,HD,21
Ferderer,Albert J Ferderer,D,HD 22,,HD,22
Sheldon-Galloway,Lola Sheldon-Galloway,R,HD 22,,HD,22
Dunn,Mark A. Dunn,R,HD 23,,HD,23
Hamlett,Brad Hamlett,D,HD 23,,HD,23
Price,Jean Price,D,HD 24,,HD,24
Raaen,William Raaen,R,HD 24,,HD,24
Lankford,Garrett Lankford,D,HD 25,,HD,25
Trebas,Jeremy Trebas,R,HD 25,,HD,25
Cooper,Michael K. Cooper Sr.,R,HD 26,,HD,26
Schreiner,Casey J. Schreiner,D,HD 26,,HD,26
O'Hara,James O'Hara,R,HD 27,,HD,27
Rominger,Ryan Rominger,D,HD 27,,HD,27
Bachmeier,Jacob Bachmeier,D,HD 28,,HD,28
Hess,Stephanie Hess,R,HD 28,,HD,28
Bartel,Dan Bartel,R,HD 29,,HD,29
Durley,Dryn Durley,D,HD 29,,HD,29
Galt,E. Wylie Galt,R,HD 30,,HD,30
Johnson,Linda Johnson,D,HD 30,,HD,30
Smith,Bridget Smith,D,HD 31,,HD,31
Windy Boy,Jonathan Windy Boy,D,HD 32,,HD,32
Finley,Mike Finley,D,HD 33,,HD,33
Knudsen,Casey Knudsen,R,HD 33,,HD,33
Carlisle,Evelyn Carlisle,D,HD 34,,HD,34
Knudsen,Austin Knudsen,R,HD 34,,HD,34
Staffanson,Scott Staffanson,R,HD 35,,HD,35
Trumpower,Chris Trumpower,D,HD 35,,HD,35
Doane,Alan Doane,R,HD 36,,HD,36
Ruddy,Mike Ruddy,D,HD 36,,HD,36
Cramer,Judi Cramer,D,HD 37,,HD,37
Harris,Bill Harris,R,HD 37,,HD,37
Holmlund,Kenneth L. Holmlund,R,HD 38,,HD,38
Muggli,Steve Muggli,D,HD 38,,HD,38
Custer,Geraldine Custer,R,HD 39,,HD,39
Miller,Bruce Miller,D,HD 39,,HD,39
Usher,Barry Usher,R,HD 40,,HD,40
Peppers,Rae Peppers,D,HD 41,,HD,41
